Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
Trevor Etienne,RB,Georgia,College Stats,9-May,198,4.42,35,15,124,,,Carolina Panthers / 4th / 114th pick / 2025,EtieTr01,1
Mitchell Evans,TE,Notre Dame,College Stats,5-Jun,258,4.74,31,,115,7.25,4.4,Carolina Panthers / 5th / 163rd pick / 2025,EvanMi01,1
Quinn Ewers,QB,Texas,College Stats,2-Jun,214,,,,,,,Miami Dolphins / 7th / 231st pick / 2025,EwerQu00,1
Donovan Ezeiruaku,EDGE,Boston Col.,College Stats,3-Jun,248,,35.5,22,119,6.94,4.19,Dallas Cowboys / 2nd / 44th pick / 2025,EzeiDo00,1
Dylan Fairchild,G,Georgia,College Stats,5-Jun,318,,27.5,,111,,,Cincinnati Bengals / 3rd / 81st pick / 2025,FairDy00,1
Joshua Farmer,DT,Florida St.,College Stats,3-Jun,305,5.11,29,26,112,,,New England Patriots / 4th / 137th pick / 2025,FarmJo00,1
Da'Quan Felton,WR,Virginia Tech,College Stats,5-Jun,213,4.5,32.5,16,122,7.1,4.3,,FeltDa00,0
Tai Felton,WR,Maryland,College Stats,1-Jun,183,4.37,39.5,,130,,,Minnesota Vikings / 3rd / 102nd pick / 2025,FeltTa00,1
Terrance Ferguson,TE,Oregon,College Stats,5-Jun,247,4.63,39,,122,,,Los Angeles Rams / 2nd / 46th pick / 2025,FergTe00,1
Ryan Fitzgerald,K,Florida St.,College Stats,11-May,193,,,,,,,,FitzRy01,0
O'Donnell Fortune,CB,South Carolina,College Stats,1-Jun,185,,32.5,,117,,,,FortOD00,0
Zah Frazier,CB,Texas-San Antonio,College Stats,3-Jun,186,4.36,36.5,,126,7,4.26,,-9999,1
Miles Frazier,G,LSU,College Stats,6-Jun,317,5.24,31,,108,,,Detroit Lions / 5th / 171st pick / 2025,FrazMi00,1
Dillon Gabriel,QB,Oregon,College Stats,11-May,205,,,,,,,Cleveland Browns / 3rd / 94th pick / 2025,GabrDi00,1
Jacolby George,WR,Miami,College Stats,11-May,172,,32.5,,120,6.77,,,GeorJa00,0
DJ Giddens,RB,Kansas St.,College Stats,Jun-00,212,4.43,39.5,,130,,4.33,Indianapolis Colts / 5th / 151st pick / 2025,GiddDJ00,1
Ashton Gillotte,EDGE,Louisville,College Stats,3-Jun,264,,36.5,24,120,,,Kansas City Chiefs / 3rd / 66th pick / 2025,GillAs00,1
Matthew Golden,WR,Texas,College Stats,11-May,191,4.29,,,,,,Green Bay Packers / 1st / 23rd pick / 2025,GoldMa02,1
Mason Graham,DT,Michigan,College Stats,4-Jun,296,,,24,,,,Cleveland Browns / 1st / 5th pick / 2025,GrahMa00,1
Charles Grant,OT,William & Mary,,5-Jun,311,,,,,,,Las Vegas Raiders / 3rd / 99th pick / 2025,GranCh00,1
Kenneth Grant,DT,Michigan,College Stats,4-Jun,331,,,22,,,,Miami Dolphins / 1st / 13th pick / 2025,GranKe01,1
Joshua Gray,G,Oregon St.,College Stats,5-Jun,299,5.04,31,,104,,,,GrayJo01,0
Mike Green,EDGE,Marshall,College Stats,3-Jun,251,,,28,,,,Baltimore Ravens / 2nd / 59th pick / 2025,GreeMi02,1
Eric Gregory,DT,Arkansas,College Stats,3-Jun,319,5.14,27,28,108,7.68,4.97,,GregEr00,0
Maxwell Hairston,CB,Kentucky,College Stats,11-May,183,4.28,39.5,,129,,,Buffalo Bills / 1st / 30th pick / 2025,HairMa00,1
Ty Hamilton,DT,Ohio St.,College Stats,3-Jun,299,,,,,,,Los Angeles Rams / 5th / 148th pick / 2025,HamiTy00,1
Omarion Hampton,RB,North Carolina,College Stats,Jun-00,221,4.46,38,18,130,,4.4,Los Angeles Chargers / 1st / 22nd pick / 2025,HampOm00,1
Jordan Hancock,CB,Ohio St.,College Stats,Jun-00,195,,,,,,,Buffalo Bills / 5th / 170th pick / 2025,HancJo00,1
Derrick Harmon,DT,Oregon,College Stats,5-Jun,313,4.95,,,,,,Pittsburgh Steelers / 1st / 21st pick / 2025,HarmDe01,1
Marcus Harris,CB,California,College Stats,11-May,189,4.45,,,,,,,-9999,1
Jermari Harris,CB,Iowa,College Stats,1-Jun,191,,37,,120,,,,HarrJe03,0
Cleveland Harris,WR,Mississippi,College Stats,2-Jun,205,4.54,38.5,,125,,,Los Angeles Chargers / 2nd / 55th pick / 2025,HarrTr03,1
Jared Harrison-Hunte,DT,SMU,College Stats,3-Jun,290,4.86,32,,111,,,,HarrJa06,0
RJ Harvey,RB,Central Florida,College Stats,8-May,205,4.4,38,16,127,,4.34,Denver Broncos / 2nd / 60th pick / 2025,HarvRJ00,1
Ahmed Hassanein,EDGE,Boise St.,College Stats,2-Jun,267,4.77,32.5,27,113,,,Detroit Lions / 6th / 196th pick / 2025,HassAh00,1
Jackson Hawes,TE,Georgia Tech,College Stats,5-Jun,253,4.82,34.5,16,121,,4.4,Buffalo Bills / 5th / 173rd pick / 2025,HaweJa00,1
Gunnar Helm,TE,Texas,College Stats,5-Jun,241,4.84,30,,,7.15,4.4,Tennessee Titans / 4th / 120th pick / 2025,HelmGu00,1
Tonka Hemingway,DT,South Carolina,College Stats,3-Jun,284,,32,,112,7.36,4.48,Las Vegas Raiders / 4th / 135th pick / 2025,HemiTo00,1
TreVeyon Henderson,RB,Ohio St.,College Stats,10-May,202,4.43,38.5,,128,,,New England Patriots / 2nd / 38th pick / 2025,HendTr02,1
Seth Henigan,QB,Memphis,College Stats,3-Jun,215,4.76,31.5,,114,7.34,4.44,,HeniSe00,0
Jayden Higgins,WR,Iowa St.,College Stats,4-Jun,214,4.47,39,,128,,,Houston Texans / 2nd / 34th pick / 2025,HiggJa00,1
Jay Higgins,LB,Iowa,College Stats,Jun-00,224,4.82,33,,110,7.01,4.35,,HiggJa01,0
Tommi Hill,CB,Nebraska,College Stats,1-Jun,213,,,,,,,,HillTo02,0
Myles Hinton,OT,Michigan,College Stats,7-Jun,323,,31.5,,,,4.96,Philadelphia Eagles / 6th / 191st pick / 2025,HintMy00,1
Traeshon Holden,WR,Oregon,College Stats,2-Jun,205,4.57,32,,123,,,,HoldTr00,0
Maxen Hook,SAF,Toledo,College Stats,1-Jun,202,4.55,34.5,,124,,,,HookMa01,0
Cam Horsley,DT,Boston Col.,College Stats,3-Jun,312,,31.5,,108,,,,HorsCa00,0
