Season,Id,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Ranking
2025,5227107,Khiryn Boyd,WR,Duquesne,,-0.088,-0.088,,-0.139,0.049,-0.411,-0.055,-0.114,-1.854,-1.854,0,-0.694,0.39,-2.055,-0.491,-1.363,1861
2025,5227111,Dazhaun Hopkins,RB,Duquesne,,-0.638,,-0.638,-0.703,-0.572,,-0.703,-0.572,-1.275,0,-1.275,-0.703,-0.572,0,-0.703,-0.572,856
2025,5227114,Tyler Glover,TE,Duquesne,,-0.453,,-0.453,-0.453,,,-0.453,,-0.453,0,-0.453,-0.453,0,0,-0.453,0,718
2025,5227133,Mikal Davis,QB,Delaware State,,-0.49,,-0.49,,,-0.49,-0.49,,-0.49,0,-0.49,0,0,-0.49,-0.49,0,559
2025,5227139,Erik Sanchez,RB,St. Francis (PA),,-0.046,-0.046,,,-0.046,,,-0.046,-0.046,-0.046,0,0,-0.046,0,0,-0.046,717
2025,5227146,Julius Dominguez,WR,Delaware State,,-0.122,-0.122,,-1.058,0.814,,-0.963,2.4,-0.488,-0.488,0,-2.117,1.628,0,-2.888,2.4,1758
2025,5227159,Damar Jackson,TE,Delaware State,,0.551,0.551,,-0.969,0.693,-0.333,0.772,-0.333,2.755,2.755,0,-0.969,1.385,-0.333,3.088,-0.333,437
2025,5227166,Jake Wolfe,QB,Robert Morris,,0.086,0.021,0.188,-0.123,0.09,0.275,0.004,0.174,4.639,0.693,3.947,-2.337,1.441,4.118,0.122,4.517,411
2025,5227175,Taj Dyches,RB,Robert Morris,,-1.134,-0.686,-1.224,-1.745,-0.442,-0.686,-1.334,-0.734,-6.806,-0.686,-6.12,-5.235,-0.885,-0.686,-5.338,-1.468,1094
2025,5227201,Max Lopacienski,TE,Robert Morris,,0.196,0.196,,-0.703,0.375,,-0.624,0.606,1.174,1.174,0,-0.703,1.877,0,-1.248,2.422,573
2025,5227208,Travis Kerney,RB,Howard,,0.025,0.209,-0.017,0,0.011,0.238,0.031,0,2.147,3.347,-1.2,-0.016,0.287,2.614,2.156,-0.008,538
2025,5227209,Anthony Reagan Jr.,RB,Howard,,0.201,0.474,0.143,0.241,-0.036,0.645,0.162,0.385,24.072,9.958,14.113,16.361,-1.22,9.68,15.991,8.08,91
2025,5227210,Billy Roberson II,RB,Howard,,0.062,0.342,0.018,0.193,-0.137,-0.184,-0.006,0.365,2.716,2.05,0.665,4.429,-2.051,-0.735,-0.203,2.919,503
2025,5227218,Kevin Smitson,WR,Howard,,-0.789,-0.789,,-0.789,,,-0.789,,-0.789,-0.789,0,-0.789,0,0,-0.789,0,1789
2025,5227231,Ke'Untae Mosley,TE,Howard,,0.397,0.397,,-0.059,0.239,1.424,0.362,0.455,8.343,8.343,0,-0.41,1.671,8.543,4.7,3.643,215
2025,5227245,Bobby Cameron,WR,St. Francis (PA),,2.138,2.138,,,,2.138,,2.138,2.138,2.138,0,0,0,2.138,0,2.138,1396
2025,5227257,Markell Holman,RB,Western Illinois,,0.098,0.246,0.063,0.085,-0.004,0.231,0.131,0.013,22.547,10.807,11.741,8.536,-0.342,7.863,21.704,0.843,108
2025,5227265,Brandon London,TE,St. Francis (PA),,1.804,1.804,,3.841,-0.233,,1.804,,3.608,3.608,0,3.841,-0.233,0,3.608,0,388
2025,5227283,Payton Wehner,QB,St. Francis (PA),,0.215,0.391,-0.838,-0.3,-0.386,0.931,-0.3,0.602,1.508,2.346,-0.838,-0.899,-0.386,2.792,-0.899,2.406,481
2025,5227288,Jacobie Dilworth,WR,Florida A&M,,-0.194,-0.194,,-0.194,,,-0.194,,-0.194,-0.194,0,-0.194,0,0,-0.194,0,1712
2025,5227298,Jordan Edwards,WR,Florida A&M,,0.937,0.937,,0.401,1.326,1.139,0.636,1.388,9.371,9.371,0,1.602,6.63,1.139,3.818,5.553,835
2025,5227299,Armand Burris,WR,Florida A&M,,2.083,2.083,,1.319,,2.847,1.319,2.847,4.165,4.165,0,1.319,0,2.847,1.319,2.847,1162
2025,5227302,Jack Stevens,QB,Wagner,,-0.068,-0.216,0.25,-0.172,-0.23,0.173,-0.103,-0.011,-11.643,-24.673,14.026,-10.12,-14.494,6.901,-10.933,-0.71,697
2025,5227306,Matt Morad,RB,Wagner,,0.074,0.216,0.045,-0.122,0.161,0.808,-0.108,0.558,5.663,2.803,2.86,-5.017,3.699,9.697,-6.054,11.717,378
2025,5227318,Johans Bars,TE,Wagner,,0.897,0.897,,,0.269,3.271,2.24,0.45,3.589,3.589,0,0,0.269,3.271,2.24,1.349,392
2025,5227371,Antuan Gardner,RB,Youngstown State,,-0.304,-1.067,-0.049,0.03,-0.638,,0.03,-0.638,-1.215,-1.067,-0.148,0.061,-1.276,0,0.061,-1.276,850
2025,5227380,Micheal Manna,TE,Youngstown State,,0.173,0.173,,-0.109,0.656,-0.426,-0.063,0.764,1.213,1.213,0,-0.328,1.967,-0.426,-0.314,1.527,570
2025,5227395,Matt D'Avino,WR,Lehigh,,0.619,0.619,,1.398,0.735,-0.283,1.333,0.334,13.003,13.003,0,5.591,8.825,-1.414,7.997,5.005,678
2025,5227396,Ja'Naylon Dupree,WR,Jackson State,,0.528,0.577,0.204,0.231,0.879,0.43,0.416,0.7,20.075,19.054,1.021,3.458,13.179,3.438,9.574,10.502,476
